Subway,,,,,,,
製表日期：,2025/12/13,,,,,,[VENUSTW_G18]
製表時間：,12:34:51,,,,,,
☆ 交  易  明  細  表  ☆,,,,,,,
門市：, 74183 台北北投餐廳,,,,,,
收銀機號：,,,付款方式：,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A010101,厚切牛起司蛋堡,1,0,82,AP 單品入帳,08:05:24
2,A010201,培根起司蛋堡,1,0,72,AP 單品入帳,08:05:24
3,A0815,餅乾3片,1,0,60,AP 單品入帳,08:05:24
,合計,,3,0,214,,
,,,,,,,
,TOTAL,,,,214,Line Pay付款,
,發票編號：,VM14253759 ～ VM14253759,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0001,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A010401,起司蛋堡,1,0,52,AP 單品入帳,08:10:09
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,08:10:09
,合計,,2,0,87,,
,,,,,,,
,TOTAL,,,,87,現金付款,
,發票編號：,VM14253760 ～ VM14253760,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0002,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A010101,厚切牛起司蛋堡,1,0,82,AP 單品入帳,08:11:18
,合計,,1,0,82,,
,,,,,,,
,TOTAL,,,,82,Line Pay付款,
,發票編號：,VM14253761 ～ VM14253761,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0003,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020601,嫩切雞肉堡6吋,1,0,110,AP 單品入帳,08:18:31
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,08:18:31
3,A0814,餅乾1片,1,0,25,AP 單品入帳,08:18:31
,合計,,3,0,180,,
,,,,,,,
,TOTAL,,,,180,現金付款,
,發票編號：,VM14253762 ～ VM14253762,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/11/30,序 號：,0004,,統一編號：,
