時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2026/01/19 08:04:40,214,0,Line Pay,XK36105112,,厚切嫩牛堡6吋(1)|A套餐(1)
2026/01/19 08:28:25,102,0,Line Pay,XK36105113,,辣牛沙拉捲餅(1)
2026/01/19 08:29:49,125,0,現金,XK36105114,,鮪魚堡6吋(1)
2026/01/19 08:30:39,142,0,現金,XK36105115,,素食蔬菜堡6吋(1)|A套餐(1)
2026/01/19 08:56:49,419,0,現金,XK36105116,,套餐起司蛋(1)|蛋沙拉堡6吋(1)|鮪魚堡6吋(1)|蛋沙拉1球(1)|美式咖啡熱(1)|美式咖啡熱(1)
2026/01/19 09:00:05,98,0,現金,XK36105117,,套餐培根起司蛋(1)
2026/01/19 09:07:44,187,0,現金,XK36105118,,厚切嫩牛堡6吋(1)|美式咖啡熱(1)
2026/01/19 09:24:23,225,0,信用卡,XK36105119,,香烤雞肉堡12吋(1)
2026/01/19 09:26:40,150,0,現金,XK36105120,,火腿堡6吋(1)|酪梨泥一球(1)
2026/01/19 09:27:42,559,0,現金,XK36105121,,厚切嫩牛堡6吋(1)|鮮嫩雞柳雙份肉料(1)|火腿雙份肉料(1)|嫩煎蛋一片(1)|A套餐(1)|燒烤牛肉堡6吋(1)|嫩煎蛋一片(1)|無糖紅茶冰(1)
2026/01/19 09:32:47,417,0,現金,XK36105122,,素食蔬菜堡12吋(1)|素食蔬菜堡12吋(1)|素食蔬菜堡6吋(1)
2026/01/19 09:36:33,170,0,現金,XK36105123,,照燒雞肉沙拉(1)
2026/01/19 09:46:55,160,0,信用卡,XK36105124,,鮮嫩雞柳堡6吋(1)|蛋沙拉1球(1)
2026/01/19 10:04:58,115,0,信用卡,XK36105125,,墨西哥辣牛堡6吋(1)
2026/01/19 10:14:27,149,0,現金,XK36105126,,厚切嫩牛堡6吋(1)
2026/01/19 10:16:58,60,0,現金,XK36105127,,餅乾3片(1)
2026/01/19 10:17:28,230,0,Line Pay,XK36105128,,嫩切雞肉烤餅6吋(1)|嫩切雞肉堡6吋(1)
2026/01/19 10:28:30,350,0,現金,XK36105129,,鮮嫩雞柳堡12吋(1)|鮪魚堡6吋(1)
2026/01/19 10:30:25,375,0,Line Pay,XK36105130,,鮮嫩雞柳堡12吋(1)|餅乾1片(1)|鮪魚堡6吋(1)
2026/01/19 10:34:18,-350,0,現金,XK36105129,,鮮嫩雞柳堡12吋(-1)|鮪魚堡6吋(-1)
2026/01/19 10:35:02,310,0,現金,XK36105131,,套餐厚牛起司蛋(2)|蛋沙拉1球(2)
2026/01/19 11:04:20,225,0,UberEats,XK36105132,,6吋墨西哥辣牛潛艇堡 6-Inch Taco Beef Sub(1)|單點現烤餅乾一片 Cookie1 pc(1)
2026/01/19 11:08:26,105,0,現金,XK36105133,,火腿堡6吋(1)
2026/01/19 11:26:12,125,0,信用卡,XK36105134,,哈燒起司總匯堡6吋(1)
2026/01/19 11:33:43,115,0,Line Pay,XK36105135,,墨西哥辣牛堡6吋(1)
2026/01/19 11:37:06,219,0,FoodPanda,XK36105136,,照燒雞肉(1)
2026/01/19 11:48:51,225,0,現金,XK36105137,,鮪魚堡12吋(1)
2026/01/19 11:55:26,190,0,現金,XK36105138,,鮮嫩雞柳堡6吋(1)|嫩煎蛋一片(1)|奶油餅乾(1)
2026/01/19 12:01:05,719,0,UberEats,XK36105139,,嫩雞沙拉捲餅 Tender Chicken Salad Wrap(1)|墨西哥辣牛沙拉 Taco Beef Salad(1)|6吋鮮嫩雞柳潛艇堡 6-Inch Chicken Strips Sub(1)
2026/01/19 12:04:04,170,0,現金,XK36105140,,嫩切雞肉堡6吋(1)|蛋沙拉1球(1)|餅乾1片(1)
2026/01/19 12:07:13,135,0,現金,XK36105141,,義大利經典堡6吋(1)
2026/01/19 12:10:02,308,0,現金,XK36105142,,百味俱樂部堡6吋(1)|鮮嫩雞柳烤餅6吋(1)|酪梨泥一球(1)
2026/01/19 12:18:09,128,0,信用卡,XK36105143,,照燒雞肉堡6吋(1)
2026/01/19 12:18:46,237,0,信用卡,XK36105144,,厚切嫩牛堡6吋(1)|嫩煎蛋一片(1)|A套餐(1)
2026/01/19 12:19:54,419,0,信用卡,XK36105145,,燒烤牛肉堡6吋(1)|燒烤牛肉雙份肉料(1)|鮮嫩雞柳堡12吋(1)
2026/01/19 12:22:18,436,0,Line Pay,XK36105146,,百味俱樂部堡12吋(1)|百味俱樂部雙份肉料(1)|百味俱樂部雙份肉料(1)|B套餐(1)|A套餐(1)
2026/01/19 12:23:56,165,0,Line Pay,XK36105147,,嫩切雞肉堡6吋(1)|嫩切雞肉雙份肉料(1)
2026/01/19 12:29:08,125,0,現金,XK36105148,,鮪魚堡6吋(1)
2026/01/19 12:31:25,160,0,信用卡,XK36105149,,鮮嫩雞柳堡6吋(1)|蛋沙拉1球(1)
2026/01/19 12:32:13,205,0,Line Pay,XK36105150,,鮮嫩雞柳堡6吋(1)|蛋沙拉1球(1)|酪梨泥一球(1)
2026/01/19 12:33:25,203,0,現金,XK36105151,,雙重起司厚牛6吋(1)|A套餐(1)
2026/01/19 12:38:29,328,0,Line Pay,XK36105152,,鷹嘴豆泥餅沙拉(1)|A套餐(1)|嫩切雞肉堡6吋(1)
2026/01/19 13:07:31,407,0,信用卡,XK36105158,,嫩雞沙拉捲餅(1)|嫩煎蛋一片(1)|鮮嫩雞柳堡6吋(1)|嫩煎蛋一片(1)|嫩切雞肉堡6吋(1)
2026/01/19 12:49:13,210,0,UberEats,XK36105153,,6吋香烤雞肉潛艇堡 6-Inch Roasted Chicken Breast Sub(1)
2026/01/19 12:49:48,225,0,信用卡,XK36105154,,香烤雞肉堡12吋(1)
2026/01/19 12:50:34,290,0,現金,XK36105155,,雙重起司厚牛6吋(1)|義大利經典堡6吋(1)
2026/01/19 12:52:32,260,0,信用卡,XK36105156,,雙重起司厚牛6吋(1)|蛋沙拉1球(1)|A套餐(1)
2026/01/19 12:54:57,250,0,Line Pay,XK36105157,,哈燒起司總匯堡6吋(1)|鮮嫩雞柳堡6吋(1)
2026/01/19 13:10:18,281,0,信用卡,XK36105159,,火腿堡6吋(1)|百味俱樂部堡6吋(1)|A套餐(1)
2026/01/19 13:18:35,595,0,UberEats,XK36105160,,6吋鮮嫩雞柳潛艇堡 6-Inch Chicken Strips Sub(1)|6 吋蛋沙拉百味潛艇堡 6-Inch Egg Salad Sub Sandwich(1)
2026/01/19 13:21:44,269,0,FoodPanda,XK36105161,,墨西哥辣椒起司厚牛(1)
2026/01/19 13:23:11,125,0,現金,XK36105162,,鮮嫩雞柳堡6吋(1)
2026/01/19 13:24:28,139,0,信用卡,XK36105163,,燒烤牛肉堡6吋(1)
2026/01/19 13:28:35,300,0,現金,XK36105164,,蛋沙拉沙拉(1)|酪梨泥一球(1)|餅乾3片(1)|奶油餅乾(1)
2026/01/19 13:32:22,225,0,信用卡,XK36105165,,哈燒起司總匯堡12吋(1)
2026/01/19 13:34:01,125,0,現金,XK36105166,,哈燒起司總匯堡6吋(1)
2026/01/19 13:38:44,353,0,現金,XK36105167,,鮪魚堡12吋(1)|照燒雞肉堡6吋(1)
2026/01/19 13:42:07,380,0,現金,XK36105168,,雙重起司厚牛6吋(1)|義大利牛肉丸堡6吋(1)|A套餐(2)
2026/01/19 14:20:00,208,0,Line Pay,XK36105169,,酪梨泥一球(1)|香烤雞肉堡6吋(1)|無糖紅茶熱(1)
2026/01/19 14:27:15,213,0,現金,XK36105170,,鮮嫩雞柳堡6吋(1)|蛋沙拉1球(1)|A套餐(1)
2026/01/19 14:28:16,1506,0,現金,XK36105171,,蛋沙拉堡12吋(2)|燒烤牛肉堡12吋(1)|厚切嫩牛堡12吋(2)|燒烤牛肉堡6吋(1)|厚切嫩牛堡6吋(1)
2026/01/19 14:32:33,398,0,UberEats,XK36105172,,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub(1)|6吋照燒雞肉潛艇堡 6-Inch Chicken Teriyaki Sub(1)
2026/01/19 14:41:07,179,0,現金,XK36105173,,厚切嫩牛堡6吋(1)|奶油餅乾(1)
2026/01/19 16:46:22,376,0,Line Pay,XK36105187,,C套餐(1)|薯餅(1)|哈燒起司總匯堡6吋(1)|厚切嫩牛堡6吋(1)
2026/01/19 14:49:27,173,0,Line Pay,XK36105174,,鮮嫩雞柳堡6吋(1)|A套餐(1)
2026/01/19 14:59:01,125,0,信用卡,XK36105175,,鮮嫩雞柳堡6吋(1)
2026/01/19 15:00:21,165,0,現金,XK36105176,,嫩切雞肉烤餅6吋(1)|酪梨泥一球(1)
2026/01/19 15:11:38,125,0,現金,XK36105177,,鮪魚堡6吋(1)
2026/01/19 15:18:04,229,0,UberEats,XK36105178,,6吋百味俱樂部潛艇堡 6-Inch Subway ClubTM Sub(1)
2026/01/19 15:54:08,149,0,Line Pay,XK36105179,,厚切嫩牛堡6吋(1)
2026/01/19 16:06:53,172,0,信用卡,XK36105180,,厚切嫩牛堡6吋(1)|三角切片起司一份(1)
2026/01/19 16:15:08,210,0,UberEats,XK36105181,,6吋義大利牛肉丸潛艇堡 6-Inch Roast Beef Sub(1)
2026/01/19 16:23:17,239,0,Line Pay,XK36105182,,厚切嫩牛堡6吋(1)|鮮嫩雞柳雙份肉料(1)|嫩煎蛋一片(1)
2026/01/19 16:24:57,250,0,現金,XK36105183,,燒烤牛肉堡12吋(1)
2026/01/19 16:31:31,284,0,Line Pay,XK36105184,,辣豆瓣嫩牛6吋(1)|鮮嫩雞柳堡6吋(1)
2026/01/19 16:35:45,328,0,信用卡,XK36105185,,鮮嫩雞柳沙拉(1)|鮮嫩雞柳雙份肉料(1)|香烤雞胸排(2)
2026/01/19 16:42:38,148,0,Line Pay,XK36105186,,鮮嫩雞柳堡6吋(1)|三角切片起司一份(1)
2026/01/19 16:50:16,125,0,現金,XK36105188,,香烤雞肉堡6吋(1)
2026/01/19 16:54:40,184,0,Line Pay,XK36105189,,義大利牛肉丸堡6吋(1)|C套餐(1)
2026/01/19 16:58:49,162,0,Line Pay,XK36105190,,嫩雞沙拉捲餅(1)|C套餐(1)
2026/01/19 17:18:07,220,0,Line Pay,XK36105191,,嫩切雞肉堡6吋(1)|嫩切雞肉雙份肉料(1)|3塊鷹嘴豆泥餅(1)
2026/01/19 17:21:23,190,0,信用卡,XK36105192,,C套餐(1)|義大利經典堡6吋(1)
2026/01/19 17:22:49,296,0,現金,XK36105193,,素食蔬菜堡6吋(1)|墨西哥辣牛堡12吋(1)
2026/01/19 17:25:54,490,0,現金,XK36105194,,厚切嫩牛堡12吋(1)|厚切嫩牛堡6吋(1)|A套餐(1)|餅乾1片(1)
2026/01/19 17:30:44,169,0,Line Pay,XK36105195,,素食蔬菜堡6吋(1)|嫩煎蛋一片(1)|酪梨泥一球(1)
2026/01/19 17:32:09,244,0,UberEats,XK36105196,,6吋百味俱樂部潛艇堡 6-Inch Subway ClubTM Sub(1)
2026/01/19 17:32:22,219,0,Line Pay,XK36105197,,辣豆瓣嫩牛6吋(1)|餅乾3片(1)
2026/01/19 17:39:02,0,160,,00000000,2101130002員工餐0元,鮮嫩雞柳堡6吋(1)|嫩煎蛋一片(1)
2026/01/19 17:51:42,274,0,現金,XK36105198,,厚切嫩牛堡6吋(1)|鮮嫩雞柳堡6吋(1)
2026/01/19 17:56:33,225,0,信用卡,XK36105199,,鮪魚堡12吋(1)
2026/01/19 17:57:14,129,0,信用卡,XK36105200,,義大利牛肉丸堡6吋(1)
2026/01/19 18:05:48,278,0,信用卡,XK36105201,,香烤雞肉堡12吋(1)|A套餐(1)
2026/01/19 18:07:24,198,0,現金,XK36105202,,嫩切雞肉堡12吋(1)
2026/01/19 18:13:57,170,0,Line Pay,XK36105203,,鮮嫩雞柳堡6吋(1)|酪梨泥一球(1)
